Season,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,FTR,B365H,B365D,B365A,mktProb_homeWin,mktProb_Draw,mktProb_awayWin,results,predictions,probability,bet,payout,cum_payout,bankroll,payout_frac,cum_payout_frac,bankroll_frac,payout_kelly,cum_payout_kelly,bankroll_kelly
2017-2018,Chelsea,Brighton,2.0,0.0,25.0,8.0,H,1.19,7.5,17.0,0.81,0.13,0.06,1,1,0.55,0,0.0,-715.0,285.0,0.0,-539.6782746256024,460.32172537439766,0.0,-589.9497507713772,410.05024922862253
2017-2018,Huddersfield,Stoke,1.0,1.0,18.0,15.0,D,2.5,3.2,3.2,0.39,0.3,0.3,0,1,0.544,1,-50.0,-765.0,235.0,-23.016086268719885,-562.6943608943222,437.30563910567776,-18.95583169679685,-608.9055824681741,391.0944175318257
2017-2018,Liverpool,Swansea,5.0,0.0,22.0,7.0,H,1.16,9.0,19.0,0.84,0.11,0.05,1,1,0.858,0,0.0,-765.0,235.0,0.0,-562.6943608943222,437.30563910567776,0.0,-608.9055824681741,391.0944175318257
2017-2018,Man United,Burnley,2.0,2.0,23.0,3.0,D,1.25,6.5,15.0,0.78,0.15,0.07,0,1,0.51,0,-0.0,-765.0,235.0,0.0,-562.6943608943222,437.30563910567776,0.0,-608.9055824681741,391.0944175318257
2017-2018,Tottenham,Southampton,5.0,2.0,16.0,16.0,H,1.36,5.25,10.0,0.72,0.19,0.1,1,1,0.662,0,0.0,-765.0,235.0,0.0,-562.6943608943222,437.30563910567776,0.0,-608.9055824681741,391.0944175318257
2017-2018,Watford,Leicester,2.0,1.0,11.0,11.0,H,2.54,3.5,2.87,0.38,0.28,0.34,1,0,0.386,1,-50.0,-815.0,185.0,-21.86528195528389,-584.5596428496061,415.4403571503939,-15.674032376896418,-624.5796148450705,375.42038515492925
2017-2018,West Brom,Everton,0.0,0.0,17.0,7.0,D,2.54,3.2,3.1,0.38,0.3,0.31,0,1,0.484,1,-50.0,-865.0,135.0,-20.772017857519696,-605.3316607071258,394.6683392928742,-13.99750540696838,-638.5771202520389,361.42287974796085
2017-2018,Newcastle,Man City,0.0,1.0,6.0,22.0,A,13.0,6.75,1.25,0.08,0.14,0.78,2,2,0.742,0,0.0,-865.0,135.0,0.0,-605.3316607071258,394.6683392928742,0.0,-638.5771202520389,361.42287974796085
2017-2018,Crystal Palace,Arsenal,2.0,3.0,16.0,16.0,A,4.5,4.0,1.8,0.22,0.24,0.54,2,2,0.476,0,0.0,-865.0,135.0,0.0,-605.3316607071258,394.6683392928742,0.0,-638.5771202520389,361.42287974796085
2017-2018,Bournemouth,Everton,2.0,1.0,19.0,6.0,H,2.37,3.29,3.29,0.41,0.3,0.3,1,1,0.438,0,0.0,-865.0,135.0,0.0,-605.3316607071258,394.6683392928742,0.0,-638.5771202520389,361.42287974796085
2017-2018,Chelsea,Stoke,5.0,0.0,21.0,1.0,H,1.16,8.5,19.0,0.83,0.11,0.05,1,1,0.564,0,0.0,-865.0,135.0,0.0,-605.3316607071258,394.6683392928742,0.0,-638.5771202520389,361.42287974796085
2017-2018,Huddersfield,Burnley,0.0,0.0,3.0,11.0,D,2.37,3.1,3.5,0.41,0.31,0.28,0,1,0.474,1,-50.0,-915.0,85.0,-19.73341696464371,-625.0650776717696,374.93492232823047,-11.562096573229917,-650.1392168252688,349.86078317473095
2017-2018,Liverpool,Leicester,2.0,1.0,17.0,7.0,H,1.3,6.0,11.0,0.75,0.16,0.09,1,1,0.638,0,0.0,-915.0,85.0,0.0,-625.0650776717696,374.93492232823047,0.0,-650.1392168252688,349.86078317473095
2017-2018,Man United,Southampton,0.0,0.0,15.0,8.0,D,1.36,5.5,9.0,0.71,0.18,0.11,0,1,0.788,1,-50.0,-965.0,35.0,-18.746746116411526,-643.8118237881811,356.1881762118189,-13.329365781614639,-663.4685826068835,336.5314173931163
2017-2018,Newcastle,Brighton,0.0,0.0,11.0,10.0,D,2.14,3.2,4.0,0.45,0.3,0.24,0,1,0.412,0,-0.0,-965.0,35.0,0.0,-643.8118237881811,356.1881762118189,0.0,-663.4685826068835,336.5314173931163
2017-2018,Watford,Swansea,1.0,2.0,9.0,9.0,A,1.66,3.79,6.0,0.58,0.26,0.16,2,1,0.448,0,-0.0,-965.0,35.0,0.0,-643.8118237881811,356.1881762118189,0.0,-663.4685826068835,336.5314173931163
2017-2018,Crystal Palace,Man City,0.0,0.0,10.0,15.0,D,11.0,6.5,1.28,0.09,0.15,0.76,0,2,0.6,0,-0.0,-965.0,35.0,0.0,-643.8118237881811,356.1881762118189,0.0,-663.4685826068835,336.5314173931163
2017-2018,West Brom,Arsenal,1.0,1.0,14.0,14.0,D,5.0,4.0,1.72,0.19,0.24,0.56,0,2,0.486,0,-0.0,-965.0,35.0,0.0,-643.8118237881811,356.1881762118189,0.0,-663.4685826068835,336.5314173931163
2017-2018,Brighton,Bournemouth,2.0,2.0,15.0,26.0,D,2.37,3.2,3.39,0.41,0.3,0.29,0,1,0.388,0,-0.0,-965.0,35.0,0.0,-643.8118237881811,356.1881762118189,0.0,-663.4685826068835,336.5314173931163
2017-2018,Burnley,Liverpool,1.0,2.0,13.0,19.0,A,7.5,4.5,1.5,0.13,0.22,0.65,2,2,0.6,0,0.0,-965.0,35.0,0.0,-643.8118237881811,356.1881762118189,0.0,-663.4685826068835,336.5314173931163
2017-2018,Everton,Man United,0.0,2.0,12.0,21.0,A,5.5,3.5,1.8,0.18,0.28,0.54,2,2,0.472,0,0.0,-965.0,35.0,0.0,-643.8118237881811,356.1881762118189,0.0,-663.4685826068835,336.5314173931163
2017-2018,Leicester,Huddersfield,3.0,0.0,11.0,6.0,H,1.66,3.79,6.0,0.58,0.26,0.16,1,1,0.47,0,0.0,-965.0,35.0,0.0,-643.8118237881811,356.1881762118189,0.0,-663.4685826068835,336.5314173931163
2017-2018,Stoke,Newcastle,0.0,1.0,11.0,14.0,A,2.29,3.29,3.5,0.43,0.3,0.28,2,1,0.504,1,-50.0,-1015.0,-15.0,-17.80940881059095,-661.621232598772,338.378767401228,-11.45563800658342,-674.9242206134669,325.07577938653293
2017-2018,Man City,Watford,3.0,1.0,17.0,7.0,H,1.12,8.5,19.0,0.84,0.11,0.05,1,1,0.718,0,0.0,-1015.0,-15.0,0.0,-661.621232598772,338.378767401228,0.0,-674.9242206134669,325.07577938653293
2017-2018,Southampton,Crystal Palace,1.0,2.0,10.0,11.0,A,1.9,3.39,4.0,0.49,0.28,0.23,2,0,0.342,1,-50.0,-1065.0,-65.0,-16.9189383700614,-678.5401709688334,321.4598290311666,-10.306581929425306,-685.2308025428922,314.7691974571076
